Age,Income,Risk_Tolerance,Investment_Goal_Encoded,Experience_Years,User_Class
44,900000,6,1,20,Moderate
40,1433619,3,2,19,Moderate
48,192137,10,1,27,Aggressive
40,3777463,10,2,19,Aggressive
35,4351165,7,3,14,Aggressive
50,460869,9,2,29,Moderate
62,350000,8,2,10,Moderate
26,350000,8,2,20,Aggressive
69,153890,7,0,48,Moderate
40,341243,8,2,19,Moderate
19,3724447,1,1,0,Moderate
41,472037,7,0,20,Moderate
20,4235484,8,2,0,Aggressive
46,1355153,1,0,25,Conservative
56,1495429,4,2,35,Moderate
44,2000000,8,2,10,Aggressive
52,3334219,9,1,31,Aggressive
44,350000,8,2,20,Moderate
65,1386549,6,2,44,Moderate
58,1175420,7,2,37,Moderate
29,1401381,9,2,8,Aggressive
55,2801207,8,1,34,Aggressive
62,2000000,9,2,10,Aggressive
32,391570,3,2,11,Conservative
55,1284353,6,2,34,Moderate
33,981807,4,0,12,Conservative
48,1472651,4,2,27,Moderate
20,4750905,6,0,0,Moderate
44,2000000,8,2,2,Aggressive
35,3572745,10,1,14,Aggressive
28,367808,3,1,7,Conservative
26,350000,6,0,5,Moderate
46,221562,3,2,25,Conservative
22,1406512,7,2,1,Aggressive
32,409862,3,2,11,Conservative
53,3125199,6,3,32,Aggressive
52,244230,5,2,31,Moderate
53,3422024,6,0,32,Moderate
58,3284908,8,2,37,Aggressive
39,755951,4,1,18,Moderate
38,346894,7,3,17,Moderate
19,1019879,6,1,0,Moderate
52,183817,5,0,31,Conservative
49,3611828,9,0,28,Aggressive
53,386391,4,2,32,Conservative
52,1274672,10,1,31,Aggressive
49,357287,3,0,28,Conservative
49,796601,6,2,28,Moderate
51,3081680,5,2,30,Moderate
39,342251,1,1,18,Conservative
27,781382,6,0,6,Moderate
33,595428,4,1,12,Conservative
31,476630,1,2,10,Conservative
22,427481,5,1,1,Moderate
36,403489,1,0,15,Conservative
35,4934146,10,1,14,Aggressive
44,632031,6,2,23,Moderate
31,1220803,2,0,10,Conservative
65,735845,9,1,44,Moderate
31,582922,7,3,10,Moderate
34,1160466,2,0,13,Conservative
24,529995,10,1,3,Aggressive
44,2000000,5,1,5,Moderate
62,2000000,8,2,10,Aggressive
56,3490922,6,2,35,Moderate
39,1032504,9,0,18,Moderate
52,1226492,5,3,31,Moderate
33,1133334,7,0,12,Moderate
65,364497,2,2,44,Conservative
18,1035692,8,3,0,Aggressive
55,482640,6,2,34,Moderate
20,836388,8,2,0,Aggressive
55,1101207,10,2,34,Aggressive
29,578008,3,2,8,Moderate
37,1008786,9,2,16,Aggressive
39,4966396,10,1,18,Aggressive
40,4307527,5,0,19,Moderate
64,1318905,2,1,43,Conservative
42,738384,8,0,21,Moderate
50,1715932,8,2,29,Aggressive
31,751707,10,1,10,Aggressive
34,2699579,7,3,13,Aggressive
52,625854,7,1,31,Moderate
39,436225,5,2,18,Moderate
43,920919,8,0,22,Moderate
35,583149,3,1,14,Conservative
46,653745,7,0,25,Moderate
49,1000759,3,1,28,Conservative
33,519724,7,1,12,Moderate
38,4621395,5,1,17,Moderate
33,1519734,8,2,12,Aggressive
32,3513279,2,1,11,Moderate
40,1209925,7,0,19,Moderate
43,806013,4,2,22,Moderate
33,360746,5,1,12,Moderate
19,2720694,1,3,0,Moderate
38,2519376,4,2,17,Moderate
43,313376,4,0,22,Conservative
20,156162,4,2,0,Moderate
37,842884,10,1,16,Aggressive
63,169549,4,0,42,Conservative
62,900000,1,0,10,Conservative
44,1246120,10,0,23,Aggressive
34,2603356,1,1,13,Conservative
43,472577,4,0,22,Conservative
38,204735,1,2,17,Conservative
33,746948,8,0,12,Moderate
36,972415,1,3,15,Conservative
28,753818,9,0,7,Aggressive
31,1444889,5,2,10,Moderate
57,1192544,9,2,36,Aggressive
47,353220,5,0,26,Conservative
49,4615556,3,2,28,Moderate
48,473799,9,0,27,Moderate
48,295421,6,2,27,Moderate
22,2460196,7,2,1,Aggressive
43,155741,5,3,22,Moderate
35,2706914,1,2,14,Moderate
58,544556,7,2,37,Moderate
40,2296980,7,0,19,Moderate
27,284720,5,1,6,Moderate
39,416709,7,2,18,Moderate
21,1593476,1,1,0,Moderate
46,424176,4,2,25,Conservative
31,340917,3,2,10,Conservative
46,552948,6,2,25,Moderate
44,2000000,8,2,10,Aggressive
20,303102,4,1,0,Moderate
28,1016879,8,0,7,Moderate
61,626597,7,0,40,Moderate
48,1409342,9,1,27,Moderate
57,4916054,2,2,36,Moderate
26,2000000,10,0,20,Aggressive
40,384180,4,2,19,Moderate
62,2000000,10,0,2,Aggressive
62,350000,5,2,10,Moderate
65,600806,3,3,44,Conservative
28,4559200,5,2,7,Aggressive
37,430342,10,2,16,Aggressive
58,865548,9,2,37,Aggressive
49,1249274,1,0,28,Conservative
62,900000,5,0,20,Moderate
41,4617265,6,3,20,Aggressive
38,771016,9,0,17,Moderate
27,1010067,3,3,6,Moderate
35,338186,3,2,14,Conservative
21,1485244,9,1,0,Aggressive
52,198147,10,1,31,Aggressive
56,443739,1,2,35,Conservative
40,729404,8,0,19,Moderate
29,749379,3,3,8,Moderate
39,1033237,7,0,18,Moderate
62,2000000,10,2,10,Aggressive
26,1257226,9,1,5,Aggressive
69,1094290,7,0,48,Moderate
44,303570,6,1,23,Moderate
48,2104063,7,2,27,Aggressive
33,263353,2,2,12,Conservative
39,323925,3,1,18,Conservative
69,1137191,1,1,48,Conservative
59,702839,6,0,38,Moderate
44,771566,4,1,23,Moderate
18,183761,3,2,0,Moderate
29,1926208,7,2,8,Aggressive
27,3386879,10,0,6,Aggressive
59,803503,10,2,38,Aggressive
63,816239,2,2,42,Conservative
50,776247,8,3,29,Aggressive
28,3016022,9,2,7,Aggressive
42,1034968,3,2,21,Moderate
65,1486430,1,3,44,Conservative
42,3638530,7,3,21,Aggressive
28,442132,8,2,7,Aggressive
19,315767,2,3,0,Moderate
41,397368,5,2,20,Moderate
31,673556,10,2,10,Aggressive
32,291467,6,1,11,Moderate
62,900000,5,0,10,Moderate
48,351346,8,0,27,Moderate
57,206840,4,3,36,Moderate
18,602262,10,0,0,Aggressive
20,586634,9,0,0,Moderate
68,646073,6,0,47,Moderate
51,585262,1,0,30,Conservative
62,350000,6,2,10,Moderate
44,2000000,9,1,2,Aggressive
54,2081716,8,3,33,Aggressive
49,782345,4,3,28,Moderate
44,642555,1,1,23,Conservative
62,900000,6,2,10,Moderate
53,966335,7,2,32,Moderate
22,980418,2,2,1,Moderate
37,2248102,9,0,16,Aggressive
50,601111,5,2,29,Moderate
51,705883,4,0,30,Conservative
62,900000,2,2,10,Conservative
59,1455315,7,0,38,Moderate
31,330860,9,2,10,Aggressive
52,891799,3,1,31,Conservative
57,4460307,1,3,36,Moderate
31,1449983,10,0,10,Aggressive
20,1325270,2,3,0,Moderate
40,1373791,8,2,19,Aggressive
33,433844,8,2,12,Moderate
59,304019,9,0,38,Moderate
41,3269889,8,2,20,Aggressive
50,238353,9,2,29,Moderate
29,4310443,10,0,8,Aggressive
36,1301968,2,2,15,Conservative
18,200997,3,1,0,Conservative
43,195203,6,2,22,Moderate
68,4824659,5,0,47,Moderate
24,991610,8,0,3,Moderate
53,1038441,6,2,32,Moderate
44,898328,5,2,23,Moderate
40,342191,2,2,19,Conservative
35,3079436,4,0,14,Moderate
54,739855,6,2,33,Moderate
43,4037752,6,1,22,Moderate
44,363253,1,1,23,Conservative
36,1309257,7,2,15,Moderate
41,886611,8,0,20,Moderate
38,1067786,3,2,17,Moderate
53,390109,1,0,32,Conservative
63,798624,5,3,42,Moderate
62,900000,10,2,10,Aggressive
32,3137102,1,0,11,Conservative
43,480229,2,2,22,Conservative
49,1329094,10,1,28,Aggressive
42,643472,6,2,21,Moderate
50,468471,2,0,29,Conservative
56,681081,9,2,35,Moderate
56,467371,4,0,35,Conservative
57,507509,9,3,36,Aggressive
50,310418,5,2,29,Moderate
46,604668,6,2,25,Moderate
27,472356,4,2,6,Moderate
21,2660546,4,3,0,Moderate
53,1408804,10,1,32,Aggressive
35,496905,8,1,14,Moderate
44,2000000,10,2,10,Aggressive
54,2117180,6,1,33,Moderate
27,737931,9,0,6,Aggressive
52,1999041,7,0,31,Moderate
40,728329,6,2,19,Moderate
19,391801,9,1,0,Aggressive
62,2000000,9,2,10,Aggressive
47,769047,3,0,26,Conservative
66,659021,9,2,45,Moderate
23,4603223,7,1,2,Aggressive
43,464555,4,1,22,Conservative
22,1393805,2,3,1,Moderate
51,477897,7,1,30,Moderate
49,1536865,3,1,28,Moderate
40,3079835,8,2,19,Aggressive
61,1120552,8,0,40,Moderate
36,2702620,4,2,15,Moderate
38,1212889,10,3,17,Aggressive
44,900000,9,2,10,Aggressive
24,2816870,10,0,3,Aggressive
61,1557315,8,0,40,Moderate
47,1796687,5,1,26,Moderate
38,389524,6,0,17,Moderate
38,554719,9,2,17,Aggressive
23,3900096,3,2,2,Moderate
24,1069597,10,1,3,Aggressive
62,2000000,7,2,5,Aggressive
49,294523,10,0,28,Moderate
41,4885486,9,3,20,Aggressive
42,1000442,7,0,21,Moderate
41,858175,2,1,20,Conservative
21,625094,10,2,0,Aggressive
33,1335791,10,2,12,Aggressive
26,1406850,6,2,5,Moderate
28,4522611,5,2,7,Aggressive
31,904669,8,2,10,Aggressive
38,3446389,7,3,17,Aggressive
48,273182,7,2,27,Moderate
34,1445424,7,2,13,Moderate
58,1390196,10,2,37,Aggressive
62,900000,8,2,10,Moderate
34,825772,8,3,13,Aggressive
18,2342721,10,2,0,Aggressive
32,1408319,5,1,11,Moderate
42,1150373,6,0,21,Moderate
44,431601,5,2,23,Moderate
25,1365445,6,1,4,Moderate
37,1422631,10,2,16,Aggressive
24,189653,2,0,3,Conservative
44,1456290,8,1,23,Moderate
59,1052307,6,2,38,Moderate
31,877347,3,0,10,Conservative
42,842262,7,2,21,Moderate
27,175438,8,2,6,Aggressive
44,1033364,8,2,23,Aggressive
37,843184,4,1,16,Moderate
62,900000,3,2,20,Conservative
62,2000000,8,2,10,Aggressive
39,580700,9,1,18,Moderate
39,236148,3,1,18,Conservative
28,1270133,7,2,7,Aggressive
54,856302,3,1,33,Conservative
26,872951,3,2,5,Moderate
62,900000,6,2,5,Moderate
44,2000000,9,2,2,Aggressive
62,2000000,5,2,10,Moderate
43,1077816,9,1,22,Aggressive
62,900000,4,0,2,Conservative
42,2770981,3,1,21,Moderate
42,688056,10,1,21,Aggressive
29,212670,8,2,8,Aggressive
44,3932296,5,3,23,Aggressive
63,557336,1,1,42,Conservative
65,209980,6,1,44,Moderate
64,2633877,5,2,43,Moderate
18,3129849,6,1,0,Aggressive
31,501306,8,2,10,Moderate
55,1410090,5,1,34,Moderate
25,217889,4,2,4,Moderate
62,307915,1,0,41,Conservative
38,397947,9,0,17,Moderate
50,523299,6,1,29,Moderate
57,427375,9,1,36,Moderate
34,1079063,5,2,13,Moderate
28,431636,6,2,7,Moderate
40,725768,7,0,19,Moderate
29,679360,10,2,8,Aggressive
57,599038,7,2,36,Moderate
44,607103,2,1,23,Conservative
31,702239,10,2,10,Aggressive
62,2000000,8,0,10,Moderate
59,544036,3,2,38,Conservative
25,863592,3,1,4,Moderate
62,350000,7,2,2,Moderate
20,1466682,9,1,0,Aggressive
62,350000,7,2,20,Moderate
52,4809666,7,1,31,Moderate
44,2000000,6,2,5,Aggressive
32,302039,3,1,11,Conservative
68,533962,6,1,47,Moderate
29,403871,4,3,8,Moderate
42,634924,3,3,21,Moderate
43,3686639,9,2,22,Aggressive
50,2420179,6,2,29,Moderate
26,577911,8,2,5,Aggressive
52,580507,9,2,31,Moderate
49,678432,5,0,28,Conservative
44,900000,5,2,5,Moderate
35,293914,4,2,14,Moderate
21,659498,1,2,0,Conservative
24,893338,10,1,3,Aggressive
40,499518,3,2,19,Conservative
26,350000,8,1,20,Moderate
63,767998,6,2,42,Moderate
49,2053091,7,2,28,Aggressive
57,175393,8,1,36,Moderate
42,825892,1,1,21,Conservative
39,749483,7,0,18,Moderate
21,445608,4,1,0,Moderate
25,895621,6,3,4,Aggressive
35,826627,9,1,14,Aggressive
54,425322,2,2,33,Conservative
47,632108,1,1,26,Conservative
43,660554,7,3,22,Moderate
25,729611,1,2,4,Conservative
31,311549,5,2,10,Moderate
53,453445,1,1,32,Conservative
21,1596426,1,2,0,Moderate
29,1074014,5,0,8,Moderate
67,521483,5,2,46,Moderate
57,475207,4,0,36,Conservative
42,535210,9,0,21,Moderate
69,582239,10,3,48,Aggressive
56,3734495,7,2,35,Aggressive
18,886167,7,0,0,Moderate
19,557505,4,0,0,Conservative
42,742440,8,1,21,Moderate
67,771662,7,0,46,Moderate
62,900000,9,2,10,Aggressive
68,782280,1,2,47,Conservative
37,584433,7,0,16,Moderate
21,3141412,2,2,0,Moderate
42,613739,5,2,21,Moderate
57,438582,4,3,36,Moderate
41,777802,9,2,20,Aggressive
40,864663,1,2,19,Conservative
33,193949,9,2,12,Aggressive
59,2221191,1,3,38,Moderate
66,476567,4,0,45,Conservative
47,2847865,3,2,26,Moderate
32,4615209,10,2,11,Aggressive
32,4542738,5,2,11,Moderate
55,795378,6,2,34,Moderate
62,900000,9,2,20,Aggressive
32,1435004,3,2,11,Moderate
48,422073,6,2,27,Moderate
63,1057803,6,1,42,Moderate
18,706297,3,1,0,Moderate
43,1336028,7,3,22,Aggressive
20,629408,8,1,0,Moderate
28,275592,10,2,7,Aggressive
62,900000,1,2,2,Conservative
33,1116759,10,2,12,Aggressive
44,2000000,7,2,10,Aggressive
44,1483700,6,2,23,Moderate
35,187574,3,2,14,Conservative
52,2957080,6,2,31,Moderate
38,409143,4,1,17,Conservative
28,904822,2,0,7,Conservative
41,1798987,3,1,20,Moderate
50,858333,3,0,29,Conservative
44,541833,5,2,23,Moderate
33,3197920,5,2,12,Moderate
58,373011,9,0,37,Moderate
57,790659,7,1,36,Moderate
55,1109748,5,2,34,Moderate
62,2000000,7,2,5,Aggressive
22,793967,8,2,1,Aggressive
32,995136,1,1,11,Conservative
27,951957,8,3,6,Aggressive
64,1313624,4,2,43,Moderate
44,876699,9,1,23,Aggressive
41,646965,8,2,20,Moderate
62,900000,9,2,20,Aggressive
39,760588,7,1,18,Moderate
36,237872,10,0,15,Aggressive
64,829794,2,2,43,Conservative
41,510122,7,1,20,Moderate
26,350000,8,1,10,Moderate
62,2000000,7,0,5,Moderate
18,1009687,4,1,0,Moderate
44,2000000,8,1,10,Aggressive
44,462586,10,2,23,Aggressive
57,1493162,8,0,36,Moderate
39,3685920,3,3,18,Moderate
20,567862,1,0,0,Conservative
28,680790,2,3,7,Moderate
53,872102,3,0,32,Conservative
56,1420937,10,1,35,Aggressive
64,923675,3,0,43,Conservative
37,302963,1,1,16,Conservative
58,601861,1,0,37,Conservative
31,1070173,10,2,10,Aggressive
43,2259371,9,2,22,Aggressive
56,322505,2,3,35,Conservative
55,260930,2,2,34,Conservative
44,2000000,10,0,20,Aggressive
44,900000,5,2,10,Moderate
28,694133,5,2,7,Moderate
50,1203496,7,2,29,Moderate
64,1197451,4,2,43,Moderate
29,657990,1,2,8,Conservative
54,624084,7,3,33,Moderate
38,437869,10,2,17,Aggressive
48,4703622,8,2,27,Aggressive
47,4014953,2,2,26,Moderate
34,439353,4,1,13,Conservative
52,378366,10,1,31,Aggressive
47,3279260,6,2,26,Moderate
33,1004580,2,2,12,Conservative
40,938177,1,2,19,Conservative
26,3187023,9,0,5,Aggressive
46,588509,1,0,25,Conservative
51,3376389,10,1,30,Aggressive
62,2000000,1,2,10,Conservative
62,900000,7,2,10,Moderate
44,329493,5,2,23,Moderate
56,3615471,3,2,35,Moderate
66,3385817,8,0,45,Moderate
40,1485388,7,1,19,Moderate
20,3544217,2,3,0,Moderate
44,2000000,8,1,5,Aggressive
39,520724,8,0,18,Moderate
20,735567,2,2,0,Moderate
62,312186,10,1,41,Aggressive
26,670289,3,1,5,Conservative
39,1477969,2,3,18,Moderate
31,655964,2,3,10,Conservative
43,321698,10,2,22,Aggressive
52,407793,6,2,31,Moderate
24,1027732,1,2,3,Conservative
49,1161171,3,0,28,Conservative
49,2671459,6,3,28,Aggressive
55,611295,8,0,34,Moderate
29,666661,2,3,8,Moderate
27,444784,2,2,6,Conservative
51,785383,7,0,30,Moderate
33,517512,3,3,12,Moderate
29,236742,7,0,8,Moderate
55,1029603,6,2,34,Moderate
46,487448,4,1,25,Conservative
35,1157722,2,1,14,Conservative
39,719295,7,3,18,Aggressive
65,475825,4,0,44,Conservative
40,1220945,9,1,19,Aggressive
19,921289,9,2,0,Aggressive
31,2850624,6,2,10,Aggressive
36,1514528,2,0,15,Conservative
44,2000000,6,2,10,Aggressive
61,4105782,6,0,40,Moderate
31,223088,5,2,10,Moderate
47,344268,9,3,26,Aggressive
52,407274,5,3,31,Moderate
24,2127361,3,2,3,Moderate
44,900000,9,2,10,Aggressive
38,1148301,6,2,17,Moderate
23,1935935,8,1,2,Aggressive
35,3562645,5,1,14,Moderate
48,571771,4,3,27,Moderate
46,910555,1,1,25,Conservative
53,1429866,3,3,32,Moderate
62,1156421,3,3,41,Moderate
37,982248,5,2,16,Moderate
48,421922,8,0,27,Moderate
19,3917028,4,0,0,Moderate
44,2000000,5,0,0,Moderate
35,438765,1,3,14,Conservative
63,629973,3,0,42,Conservative
48,966759,3,2,27,Conservative
34,1813425,5,0,13,Moderate
37,709641,5,2,16,Moderate
62,900000,8,2,5,Moderate
35,4512990,1,3,14,Moderate
20,1115387,7,0,0,Moderate
33,442808,8,2,12,Moderate
24,981201,8,1,3,Aggressive
61,400684,4,2,40,Conservative
50,3594938,9,0,29,Aggressive
41,889537,10,1,20,Aggressive
69,852653,5,2,48,Moderate
36,814057,1,3,15,Conservative
21,180342,6,1,0,Moderate
50,1361001,4,2,29,Moderate
21,453565,3,0,0,Conservative
40,800873,6,3,19,Moderate
24,1057275,8,0,3,Moderate
62,2000000,8,0,10,Moderate
56,566790,5,0,35,Conservative
22,633162,1,1,1,Conservative
23,466083,4,2,2,Moderate
34,437535,1,2,13,Conservative
51,445751,4,1,30,Conservative
62,350000,7,1,10,Moderate
59,3375117,6,0,38,Moderate
40,714487,10,2,19,Aggressive
37,286244,9,2,16,Aggressive
36,513996,1,2,15,Conservative
50,1268013,4,2,29,Moderate
57,4195750,3,2,36,Moderate
19,2256862,6,1,0,Aggressive
62,900000,5,2,10,Moderate
57,1046625,6,1,36,Moderate
54,981465,4,2,33,Moderate
18,2309091,9,2,0,Aggressive
31,669355,1,1,10,Conservative
26,900000,6,2,5,Moderate
27,327180,4,2,6,Moderate
32,642523,8,2,11,Moderate
52,342168,5,0,31,Conservative
48,2833788,2,2,27,Moderate
26,350000,5,1,5,Moderate
46,1468301,10,2,25,Aggressive
31,3541781,1,3,10,Moderate
40,668113,6,3,19,Moderate
32,1828577,6,1,11,Moderate
50,1232184,7,2,29,Moderate
65,1503264,4,3,44,Moderate
42,273786,1,1,21,Conservative
43,1368240,8,0,22,Moderate
31,575304,4,2,10,Moderate
64,372932,6,1,43,Moderate
52,338025,6,1,31,Moderate
62,2000000,7,0,10,Moderate
62,900000,4,2,5,Moderate
62,900000,7,2,5,Moderate
18,344018,10,2,0,Aggressive
62,2000000,5,2,0,Moderate
44,900000,6,2,2,Moderate
43,801497,7,3,22,Aggressive
54,1288255,3,2,33,Conservative
57,775624,3,2,36,Conservative
25,766378,2,3,4,Moderate
23,468594,2,0,2,Conservative
49,779414,9,2,28,Aggressive
38,941503,4,1,17,Moderate
62,900000,4,1,5,Conservative
37,845703,1,3,16,Conservative
20,3116859,9,2,0,Aggressive
53,754788,5,0,32,Moderate
27,1109860,1,1,6,Conservative
62,350000,1,2,20,Conservative
40,2407791,3,2,19,Moderate
37,1401261,1,0,16,Conservative
35,821538,1,1,14,Conservative
23,827907,8,0,2,Moderate
44,2000000,9,1,20,Aggressive
36,210978,5,2,15,Moderate
27,955821,3,0,6,Conservative
62,2000000,8,0,0,Moderate
50,1179747,7,1,29,Moderate
44,532010,5,2,23,Moderate
25,3527843,10,0,4,Aggressive
39,816471,3,0,18,Conservative
31,899490,3,2,10,Moderate
57,861337,7,3,36,Moderate
25,1509013,10,3,4,Aggressive
33,4445820,5,3,12,Aggressive
38,4689127,2,2,17,Moderate
62,2000000,4,2,2,Moderate
26,350000,8,3,10,Aggressive
52,471968,4,2,31,Conservative
44,900000,10,2,5,Aggressive
55,3137189,4,3,34,Moderate
47,290893,2,3,26,Conservative
21,477674,1,3,0,Conservative
19,570522,10,0,0,Aggressive
66,307735,4,2,45,Conservative
23,1080917,7,0,2,Moderate
22,577969,1,0,1,Conservative
67,214229,4,1,46,Conservative
53,229068,5,2,32,Moderate
59,782891,7,0,38,Moderate
25,3630651,2,2,4,Moderate
36,709841,4,2,15,Moderate
57,383225,7,1,36,Moderate
39,706711,10,3,18,Aggressive
51,1297689,4,0,30,Conservative
27,909945,9,1,6,Aggressive
64,990609,4,2,43,Moderate
22,1868014,9,0,1,Aggressive
38,400620,4,2,17,Moderate
41,637689,5,2,20,Moderate
56,1165789,6,3,35,Moderate
46,901367,2,2,25,Conservative
50,783872,9,2,29,Aggressive
48,3026896,8,1,27,Aggressive
36,2786936,2,1,15,Moderate
64,935937,3,0,43,Conservative
40,245238,9,0,19,Moderate
49,518018,2,0,28,Conservative
35,364597,2,0,14,Conservative
62,900000,8,2,10,Moderate
62,2000000,5,2,2,Moderate
44,910781,4,2,23,Moderate
31,2222299,4,1,10,Moderate
59,3688716,6,0,38,Moderate
31,487515,2,2,10,Conservative
62,350000,8,2,20,Moderate
20,3366060,2,1,0,Moderate
62,350000,8,2,10,Moderate
44,743484,5,3,23,Moderate
40,1218347,10,0,19,Aggressive
53,1977985,9,2,32,Aggressive
42,237765,8,1,21,Moderate
56,770288,3,2,35,Conservative
26,900000,9,1,0,Aggressive
37,270518,3,2,16,Conservative
36,1837232,5,3,15,Aggressive
42,1023012,4,0,21,Conservative
23,689174,4,1,2,Moderate
47,701395,10,2,26,Aggressive
52,1134890,7,3,31,Moderate
67,2327013,7,1,46,Moderate
26,900000,8,2,5,Aggressive
46,245221,5,2,25,Moderate
59,636113,2,3,38,Conservative
32,365570,4,2,11,Moderate
40,481481,7,2,19,Moderate
42,444544,8,0,21,Moderate
32,702058,5,1,11,Moderate
40,915196,8,3,19,Aggressive
57,376908,6,2,36,Moderate
23,979685,3,2,2,Moderate
38,559772,3,2,17,Conservative
38,601499,1,0,17,Conservative
58,1331001,5,1,37,Moderate
36,684225,5,1,15,Moderate
39,563130,6,3,18,Moderate
50,2195752,8,1,29,Aggressive
57,3119814,5,0,36,Moderate
49,1219651,5,2,28,Moderate
38,2618841,4,2,17,Moderate
62,900000,6,2,5,Moderate
54,556077,6,2,33,Moderate
51,1249889,6,1,30,Moderate
50,1215847,8,2,29,Moderate
37,2924678,1,2,16,Moderate
22,1211635,7,0,1,Moderate
42,993883,5,2,21,Moderate
25,360461,3,1,4,Conservative
21,2522707,2,3,0,Moderate
42,1797086,8,3,21,Aggressive
44,350000,8,2,10,Moderate
44,2000000,8,2,5,Aggressive
31,947892,3,1,10,Conservative
44,3293282,9,2,23,Aggressive
54,601383,5,1,33,Moderate
51,1467348,6,2,30,Moderate
37,3111256,5,3,16,Aggressive
53,352089,2,2,32,Conservative
44,2000000,9,0,5,Aggressive
41,1700339,4,2,20,Moderate
36,244091,2,2,15,Conservative
63,507768,4,1,42,Conservative
42,401042,5,2,21,Moderate
24,360610,5,0,3,Moderate
32,1345391,5,1,11,Moderate
36,1104188,5,2,15,Moderate
42,1341550,3,3,21,Moderate
43,4237732,2,0,22,Conservative
59,4121858,9,2,38,Aggressive
62,2000000,10,2,10,Aggressive
40,4937892,7,2,19,Aggressive
29,785444,3,0,8,Conservative
58,844453,8,0,37,Moderate
33,3290369,9,2,12,Aggressive
66,1083469,7,2,45,Moderate
23,2513417,8,1,2,Aggressive
64,1298270,10,1,43,Aggressive
49,1006862,7,0,28,Moderate
25,1184812,4,1,4,Moderate
62,2000000,9,2,5,Aggressive
49,543334,2,1,28,Conservative
38,351696,2,0,17,Conservative
59,1106177,10,2,38,Aggressive
46,841243,6,1,25,Moderate
61,279309,2,2,40,Conservative
42,612530,3,0,21,Conservative
69,617844,6,1,48,Moderate
24,160458,8,2,3,Aggressive
22,665026,9,0,1,Moderate
44,598096,9,3,23,Aggressive
33,477196,5,2,12,Moderate
40,324050,8,0,19,Moderate
54,1207006,4,3,33,Moderate
48,796075,9,1,27,Moderate
44,2086497,9,0,23,Aggressive
31,683805,2,1,10,Conservative
62,2000000,7,2,5,Aggressive
63,1001744,2,2,42,Conservative
33,589802,5,2,12,Moderate
37,1153648,8,3,16,Aggressive
43,424229,3,3,22,Moderate
39,308766,10,2,18,Aggressive
37,1922776,4,3,16,Moderate
46,741505,3,3,25,Moderate
43,1025681,9,2,22,Aggressive
47,553813,10,3,26,Aggressive
40,701675,4,2,19,Moderate
38,681315,2,2,17,Conservative
18,156777,2,1,0,Conservative
29,3937839,4,1,8,Moderate
29,3874973,8,0,8,Aggressive
46,607895,3,0,25,Conservative
33,318446,7,0,12,Moderate
58,1115101,1,2,37,Conservative
40,1297544,1,1,19,Conservative
62,350000,7,2,10,Moderate
69,1128810,8,2,48,Moderate
55,936956,9,1,34,Moderate
41,3277842,5,2,20,Moderate
20,488929,3,1,0,Conservative
48,201626,1,1,27,Conservative
21,1158320,5,0,0,Moderate
26,1491441,10,2,5,Aggressive
37,475992,9,1,16,Moderate
51,635077,2,1,30,Conservative
25,1355976,3,2,4,Moderate
41,989718,3,0,20,Conservative
43,253021,8,2,22,Moderate
62,2000000,6,0,5,Moderate
26,900000,5,2,2,Moderate
38,769720,8,2,17,Aggressive
61,221469,8,0,40,Moderate
23,2947328,1,2,2,Moderate
37,1448619,10,2,16,Aggressive
34,585566,4,2,13,Moderate
31,3520905,7,1,10,Aggressive
39,436304,3,3,18,Moderate
51,705727,5,1,30,Moderate
62,2000000,10,2,10,Aggressive
41,201079,9,2,20,Aggressive
26,1129705,5,1,5,Moderate
39,271833,7,1,18,Moderate
38,575604,5,0,17,Moderate
51,835495,9,0,30,Moderate
37,1791078,4,1,16,Moderate
64,1279898,8,3,43,Aggressive
38,416408,7,2,17,Moderate
48,360404,9,0,27,Moderate
62,350000,7,2,10,Moderate
57,649252,8,2,36,Moderate
35,1361076,9,3,14,Aggressive
26,252658,4,2,5,Moderate
40,963283,4,2,19,Moderate
49,873103,3,1,28,Conservative
35,645573,6,3,14,Moderate
57,4863376,7,0,36,Moderate
29,1020631,4,1,8,Moderate
39,2419398,9,2,18,Aggressive
33,3109391,6,1,12,Moderate
20,209741,1,2,0,Conservative
32,752010,2,1,11,Conservative
36,747993,6,2,15,Moderate
39,987070,5,3,18,Moderate
26,1324167,3,2,5,Moderate
26,350000,8,2,2,Aggressive
38,528104,4,2,17,Moderate
57,1282929,2,2,36,Conservative
37,578308,5,3,16,Moderate
20,3896820,4,2,0,Moderate
44,2000000,8,1,5,Aggressive
55,1071552,2,1,34,Conservative
36,3160289,6,0,15,Moderate
41,4480665,4,3,20,Moderate
27,2019464,2,0,6,Moderate
26,478488,6,0,5,Moderate
34,1593397,1,1,13,Conservative
40,4943890,6,1,19,Moderate
66,795722,9,0,45,Moderate
33,1300506,6,1,12,Moderate
62,2000000,8,1,10,Aggressive
18,865179,1,2,0,Conservative
42,2427445,2,2,21,Moderate
44,1084933,8,0,23,Moderate
54,1948690,6,0,33,Moderate
56,2686375,1,1,35,Conservative
29,372096,4,1,8,Moderate
62,2000000,5,3,5,Moderate
22,1153529,4,2,1,Moderate
29,204885,7,2,8,Moderate
27,4955444,4,1,6,Moderate
65,1666950,2,1,44,Conservative
56,327359,5,3,35,Moderate
62,350000,3,2,20,Conservative
62,900000,2,1,2,Conservative
40,1148625,8,0,19,Moderate
